day,time,Alog_in0,Alog_in1,Alog_in2,Alog_in3,Alog_in4,Alog_in5,Alog_in6,Alog_in7
2024:12:11,16:8:9,,,,,,,,
2024:12:11,16:8:10,,,,,,,,
2024:12:11,16:8:11,,,,,,,,
2024:12:11,16:8:12,,,,,,,,
2024:12:11,16:8:13,,,,,,,,
2024:12:11,16:8:14,,,,,,,,
2024:12:11,16:8:15,,,,,,,,
2024:12:11,16:8:16,,,,,,,,
2024:12:11,16:8:17,,,,,,,,
2024:12:11,16:8:18,,,,,,,,
2024:12:11,16:8:19,,,,,,,,
2024:12:11,16:8:20,,,,,,,,
2024:12:11,16:8:21,,,,,,,,
2024:12:11,16:8:22,,,,,,,,
2024:12:11,16:8:23,,,,,,,,
2024:12:11,16:8:24,,,,,,,,
2024:12:11,16:8:25,,,,,,,,
2024:12:11,16:8:26,,,,,,,,
2024:12:11,16:8:27,,,,,,,,
2024:12:11,16:8:28,,,,,,,,
2024:12:11,16:8:29,,,,,,,,
2024:12:11,16:8:30,,,,,,,,
2024:12:11,16:8:31,,,,,,,,
2024:12:11,16:8:32,,,,,,,,
2024:12:11,16:8:33,,,,,,,,
2024:12:11,16:8:34,,,,,,,,
2024:12:11,16:8:35,,,,,,,,
2024:12:11,16:8:36,,,,,,,,
2024:12:11,16:8:37,,,,,,,,
2024:12:11,16:8:38,,,,,,,,
2024:12:11,16:8:39,,,,,,,,
2024:12:11,16:8:40,,,,,,,,
2024:12:11,16:8:41,,,,,,,,
2024:12:11,16:8:42,,,,,,,,
2024:12:11,16:8:43,,,,,,,,
2024:12:11,16:8:44,,,,,,,,
2024:12:11,16:8:45,,,,,,,,
2024:12:11,16:8:46,,,,,,,,
2024:12:11,16:8:47,,,,,,,,
2024:12:11,16:8:48,,,,,,,,
2024:12:11,16:8:49,,,,,,,,
2024:12:11,16:8:50,,,,,,,,
2024:12:11,16:8:51,,,,,,,,
2024:12:11,16:8:52,,,,,,,,
2024:12:11,16:8:53,,,,,,,,
2024:12:11,16:8:54,,,,,,,,
2024:12:11,16:8:55,,,,,,,,
2024:12:11,16:8:56,,,,,,,,
2024:12:11,16:8:57,,,,,,,,
2024:12:11,16:8:58,,,,,,,,
2024:12:11,16:8:59,,,,,,,,
2024:12:11,16:9:0,,,,,,,,
2024:12:11,16:9:1,,,,,,,,
2024:12:11,16:9:2,,,,,,,,
2024:12:11,16:9:3,,,,,,,,
2024:12:11,16:9:4,,,,,,,,
2024:12:11,16:9:5,,,,,,,,
2024:12:11,16:9:6,,,,,,,,
2024:12:11,16:9:7,,,,,,,,
2024:12:11,16:9:8,,,,,,,,
2024:12:11,16:9:9,,,,,,,,
2024:12:11,16:9:10,,,,,,,,
2024:12:11,16:9:11,,,,,,,,
2024:12:11,16:9:12,,,,,,,,
2024:12:11,16:9:13,,,,,,,,
2024:12:11,16:9:14,,,,,,,,
2024:12:11,16:9:15,,,,,,,,
2024:12:11,16:9:16,,,,,,,,
2024:12:11,16:9:17,,,,,,,,
2024:12:11,16:9:18,,,,,,,,
2024:12:11,16:9:19,,,,,,,,
2024:12:11,16:9:20,,,,,,,,
2024:12:11,16:9:21,,,,,,,,
2024:12:11,16:9:22,,,,,,,,
